cumshow,director.mean,weight3,°ü¶÷°´¼ö,actor.mean,br,rankNum,popular,watchnew,nationnew
1731,94620,5,94500,53087.19444,3,0,0,1,ETC
3233,70424,2,70424,41975.25,3,0,0,1,ETC
11791,1128499.667,6,1515097,620037.9619,3,0,0,2,USA
7451,170242.5,2,73875,73875,3,0,1,1,USA
196,23993,1,23993,19663.55,3,0,0,1,ETC
36716,814182.25,4,953685,2150983.078,1,8,1,0,KOREA
37684,1239918.4,9,974262,3998916.722,1,7,0,2,KOREA
1465,119501,4,119406,931456.5238,3,0,0,1,USA
2616,14173,2,27926,1444066.8,3,0,1,1,USA
54,2186381.8,0,11174,23348.25,3,0,1,1,ETC
621,27985.5,5,51106,591176.3175,3,0,0,1,USA
56648,1668133.5,8,3100113,2135002.551,1,15,1,1,USA
2919,78245.28571,2,57179,109663.6587,3,0,0,1,USA
26901,752203,6,653226,2567210.15,2,7,0,1,KOREA
262,45678,0,45049,31737.16667,3,0,0,2,KOREA
32518,1075501,8,1330181,107788.85,1,13,0,2,USA
9609,194270,2,128999,1193113.037,3,0,0,1,KOREA
58242,2559786.75,11,3324874,1827764.087,2,14,0,2,USA
3535,42474.66667,2,124318,1192455.015,1,0,0,2,ETC
346,125446,1,44572,993353.7139,3,0,0,2,ETC
8981,224667,13,411787,187807.4286,3,0,0,2,KOREA
962,55425,3,55425,1257683,3,0,0,2,ETC
597,1367928,2,1344319,3140182.167,1,0,1,1,USA
185,55257.75,0,43223,686509.46,3,0,0,1,ETC
984,59375,2,59375,697664.4582,3,0,0,2,ETC
3217,608518.5,6,141865,268809.3333,3,0,0,2,KOREA
6608,153914.2,5,397649,152785.8333,3,0,0,2,ETC
4538,40298,2,41426,249263.1667,2,0,1,1,ETC
4895,1874053,4,286489,622286.5,3,0,0,1,USA
4697,67636,2,104439,241437.0926,3,0,0,1,ETC
77,23741.5,0,86984,1418341.075,3,0,0,1,ETC
3913,109237.5556,3,126621,729400.7222,3,0,0,1,USA
3531,81054.5,7,143100,414938.8571,3,0,0,2,ETC
389,13812,0,13812,418034.3333,3,0,0,1,ETC
30848,402487.75,7,959578,1238121.278,1,6,1,1,USA
78794,778488.6,15,3711407,1729668.04,3,17,0,1,ETC
809,25964,2,25964,278318.6667,3,0,0,2,ETC
2268,17290,2,34567,74261.05556,3,0,0,1,USA
1580,119261,3,70350,117082.0833,3,0,0,2,ETC
17497,2507971.6,3,427113,3061104.806,1,0,0,1,KOREA
683,70957.4,3,63279,131827.9333,3,0,0,1,KOREA
43369,749473.6,7,1675819,706035.9683,2,14,0,1,USA
182,9268,1,18535,205.5,3,0,0,2,ETC
2434,115224.5,5,99752,490463.7222,3,0,0,2,KOREA
328,19986,2,19986,7748.625,3,0,0,2,USA
218,11582.66667,0,27986,1018950.657,3,0,0,1,KOREA
5719,4044.5,2,56553,885990.9926,2,0,0,1,KOREA
26996,372178.8571,7,921317,2436376.46,3,14,1,1,USA
23415,611276.7143,6,765259,387480,3,4,1,0,USA
1102,65460,3,65460,275187.3333,3,0,0,2,USA
1376,64858.6,5,73797,1516594.326,3,0,0,2,ETC
2709,244413,6,112242,726977.3107,3,0,0,2,ETC
3631,386664.0591,2,153581,335274.2778,3,0,0,2,USA
4604,172588,7,234387,492131.0056,3,0,0,2,USA
4677,14493,6,144036,14490,3,0,0,1,KOREA
9554,1242903.111,3,240592,1718543.589,3,0,0,1,KOREA
53378,491544.4,11,2007649,1577076.725,2,17,1,1,USA
5884,1413,2,38129,455352.5,3,0,0,1,KOREA
977,23562.2,3,25908,109807.0667,3,0,0,2,ETC
432,33524,3,33524,685688.1312,3,0,0,2,ETC
3800,96929.125,1,32278,527486.6111,1,0,1,1,KOREA
112018,469224,12,7120780,4840618.638,3,28,0,1,KOREA
3326,117591,6,117591,6026,3,0,0,2,ETC
3472,626295.3333,0,46677,825293.1833,3,0,0,0,USA
31501,413727.25,7,485695,2642811.133,1,4,0,1,KOREA
39,38769,1,23593,478763.5185,3,0,0,0,USA
6007,4292969.8,6,322206,600355,2,1,1,1,USA
2374,1422596.333,2,270788,270842,3,0,0,2,ETC
2666,1552420.667,0,30116,807239.7037,3,0,0,1,KOREA
